標題,問題,回答,主題分類,主題分類_字串,主題數量,回答內容摘要,醫生名稱,回答時間,對應子問題,主題判斷
#184467 糖尿病，手腳的壞疽的處理,"醫師您好：
我家人58歲，先前敗血症休克，
導致一手一腳的趾頭壞死黑掉，
但之前請教醫師腳的循環很差。
當時也不建議截肢建議等待脫落

但我還是希望能夠恢復活動，能夠不要臥床
想請問是否只能等自然脫落呢？",有關糖尿病患的肢體壞疽處理，需諮詢整型外科或骨科，謝謝詢問,['併發症'],併發症,1,需諮詢整型外科或骨科處理糖尿病患肢體壞疽。,李健,2022/7/25,糖尿病患者出現肢體壞疽時，應該掛整型外科或骨科進行哪些處置？,併發症
#180461 糖耐測試,"醫師您好：近期有到醫院進行糖耐測試，檢驗結果如下：糖化血色素5.5，OGTT：AC—96；30分—167；60分—212；90分—174；120分—132。門診的醫師表示身體葡萄糖耐受不良，為糖尿病前期。請問醫師幾個問題：
一、糖尿病診斷標準有一項為『隨機血糖超過200』，本次測試服用葡萄糖60分鐘時血糖
指數突破200，是否代表已經患有糖尿病。
二、糖耐測試是否為檢測糖尿病單一方式中準確性最高的方法。
三、糖化血色素的數值為近三個月的血糖值平均，用來作為糖尿病檢測的準確性為何。
本次檢測的糖化血色素5.5，代表血糖平均值約111，感覺對應上面檢測的數據，似乎
不該只有5.5，本身的血紅素偏低，接近正常值下限，是否有可能是此原因造成的結
果。
四、有看過吃無糖黑巧克力可以有變控制血糖，此說法是否已經過實證。另外，針對血
糖控制，可否請醫師您提出專業的建議。
懇請醫師您撥冗解惑，並不吝提出建議。辛苦醫師您了！感恩！",葡萄糖耐受不良(IGT)與胰島素早期及晚期分泌不足較相關，OGTT若有異常，可再隔日確認一次。請洽詢相關醫療人員,"['血糖管理', '飲食']","血糖管理, 飲食",4,葡萄糖耐受不良與胰島素分泌不足相關，糖尿病診斷依血糖指標，糖化血色素正常值<5.7%，高純度巧克力可降低糖化血色素及糖尿病風險。,謝榮元,2022/4/13,葡萄糖耐受不良(IGT)與胰島素分泌不足的關係是什麼？OGTT異常需要如何進一步確認？,血糖管理
#180461 糖耐測試,"醫師您好：近期有到醫院進行糖耐測試，檢驗結果如下：糖化血色素5.5，OGTT：AC—96；30分—167；60分—212；90分—174；120分—132。門診的醫師表示身體葡萄糖耐受不良，為糖尿病前期。請問醫師幾個問題：
一、糖尿病診斷標準有一項為『隨機血糖超過200』，本次測試服用葡萄糖60分鐘時血糖
指數突破200，是否代表已經患有糖尿病。
二、糖耐測試是否為檢測糖尿病單一方式中準確性最高的方法。
三、糖化血色素的數值為近三個月的血糖值平均，用來作為糖尿病檢測的準確性為何。
本次檢測的糖化血色素5.5，代表血糖平均值約111，感覺對應上面檢測的數據，似乎
不該只有5.5，本身的血紅素偏低，接近正常值下限，是否有可能是此原因造成的結
果。
四、有看過吃無糖黑巧克力可以有變控制血糖，此說法是否已經過實證。另外，針對血
糖控制，可否請醫師您提出專業的建議。
懇請醫師您撥冗解惑，並不吝提出建議。辛苦醫師您了！感恩！","糖尿病的診斷標準：
(1)糖尿病症狀加上血漿葡萄糖濃度>=200mg/dl(多尿、多喝、體重下降)
(2)空腹8小時以上血糖>=126mg/dl
(3)OGTT後二小時血糖>=200mg/dl","['血糖管理', '飲食']","血糖管理, 飲食",4,葡萄糖耐受不良與胰島素分泌不足相關，糖尿病診斷依血糖指標，糖化血色素正常值<5.7%，高純度巧克力可降低糖化血色素及糖尿病風險。,謝榮元,2022/4/13,糖尿病的診斷標準有哪些具體數值要求？,血糖管理
#180461 糖耐測試,"醫師您好：近期有到醫院進行糖耐測試，檢驗結果如下：糖化血色素5.5，OGTT：AC—96；30分—167；60分—212；90分—174；120分—132。門診的醫師表示身體葡萄糖耐受不良，為糖尿病前期。請問醫師幾個問題：
一、糖尿病診斷標準有一項為『隨機血糖超過200』，本次測試服用葡萄糖60分鐘時血糖
指數突破200，是否代表已經患有糖尿病。
二、糖耐測試是否為檢測糖尿病單一方式中準確性最高的方法。
三、糖化血色素的數值為近三個月的血糖值平均，用來作為糖尿病檢測的準確性為何。
本次檢測的糖化血色素5.5，代表血糖平均值約111，感覺對應上面檢測的數據，似乎
不該只有5.5，本身的血紅素偏低，接近正常值下限，是否有可能是此原因造成的結
果。
四、有看過吃無糖黑巧克力可以有變控制血糖，此說法是否已經過實證。另外，針對血
糖控制，可否請醫師您提出專業的建議。
懇請醫師您撥冗解惑，並不吝提出建議。辛苦醫師您了！感恩！",糖化血色素5少於7%應屬正常。請洽詢相關醫療人員,"['血糖管理', '飲食']","血糖管理, 飲食",4,葡萄糖耐受不良與胰島素分泌不足相關，糖尿病診斷依血糖指標，糖化血色素正常值<5.7%，高純度巧克力可降低糖化血色素及糖尿病風險。,謝榮元,2022/4/13,糖化血色素低於7%是否表示血糖控制良好？,血糖管理
#180461 糖耐測試,"醫師您好：近期有到醫院進行糖耐測試，檢驗結果如下：糖化血色素5.5，OGTT：AC—96；30分—167；60分—212；90分—174；120分—132。門診的醫師表示身體葡萄糖耐受不良，為糖尿病前期。請問醫師幾個問題：
一、糖尿病診斷標準有一項為『隨機血糖超過200』，本次測試服用葡萄糖60分鐘時血糖
指數突破200，是否代表已經患有糖尿病。
二、糖耐測試是否為檢測糖尿病單一方式中準確性最高的方法。
三、糖化血色素的數值為近三個月的血糖值平均，用來作為糖尿病檢測的準確性為何。
本次檢測的糖化血色素5.5，代表血糖平均值約111，感覺對應上面檢測的數據，似乎
不該只有5.5，本身的血紅素偏低，接近正常值下限，是否有可能是此原因造成的結
果。
四、有看過吃無糖黑巧克力可以有變控制血糖，此說法是否已經過實證。另外，針對血
糖控制，可否請醫師您提出專業的建議。
懇請醫師您撥冗解惑，並不吝提出建議。辛苦醫師您了！感恩！",吃高純度巧克力，研究發現能降低糖化血色素，促進胰島素分泌，減少30%糖尿病發生率。,"['血糖管理', '飲食']","血糖管理, 飲食",4,葡萄糖耐受不良與胰島素分泌不足相關，糖尿病診斷依血糖指標，糖化血色素正常值<5.7%，高純度巧克力可降低糖化血色素及糖尿病風險。,謝榮元,2022/4/13,高純度巧克力如何降低糖化血色素並促進胰島素分泌？,飲食
#159766 糖尿病問題,雙親都有糖尿病，二位姊姊也都已確診糖尿病，因此平時就有運動的習慣及注意清淡飲食。日前因常有飢餓感而到醫院新陳代謝科就醫，抽血檢查飯前血糖114糖化血色素5.8，醫囑每年追蹤檢查。請教醫師1.平時就有注意運動及飲食，此檢查結果是否可解釋成已是糖尿病者只是控制的不錯。2.已經幾乎每天走路或爬山或騎自行車等運動，飲食也以清淡及吃糙米為主，如此尚有那些努力空間？3.因每天一起床就喝500cc的白開水，抽血當天亦同，如此是否會影響檢查結果，造成誤差？感謝您!,臺灣人常吃太多水果導至血糖高，要注意水果別攝取過量,"['飲食', '血糖管理']","飲食, 血糖管理",4,糖化血紅素5.8屬糖尿病前期，注意水果攝取過量，抽血需空腹八小時且避免喝大量水。,李健,2020/8/20,哪些水果容易導致血糖升高？如何控制水果的攝取量以避免血糖過高？,飲食
#159766 糖尿病問題,雙親都有糖尿病，二位姊姊也都已確診糖尿病，因此平時就有運動的習慣及注意清淡飲食。日前因常有飢餓感而到醫院新陳代謝科就醫，抽血檢查飯前血糖114糖化血色素5.8，醫囑每年追蹤檢查。請教醫師1.平時就有注意運動及飲食，此檢查結果是否可解釋成已是糖尿病者只是控制的不錯。2.已經幾乎每天走路或爬山或騎自行車等運動，飲食也以清淡及吃糙米為主，如此尚有那些努力空間？3.因每天一起床就喝500cc的白開水，抽血當天亦同，如此是否會影響檢查結果，造成誤差？感謝您!,抽血應絕對空腹八小時，不應喝500毫升水,"['飲食', '血糖管理']","飲食, 血糖管理",4,糖化血紅素5.8屬糖尿病前期，注意水果攝取過量，抽血需空腹八小時且避免喝大量水。,李健,2020/8/20,抽血前為什麼需要空腹八小時？喝水是否會影響檢查結果？,生活管理
#77670 糖尿病的問題,"醫師想請問你，我爸他有糖尿病
也有吃藥控制，最近體重又下降
爸爸還說沒有胃口，看到桌上的飯菜就吃不下
是吃藥的關係還是有另外的病徵兆??
如果是吃藥的問題要去醫院跟醫師詳細說明??
麻忙醫師的解答謝謝...",有些糖尿病口服藥物會有腹脹的副作用，也可能會輕微的體重下降。若下降得太多需考慮是否血糖太高造成脫水，當然其他的疾病也可能造成體重下降。建議回門診進一步確定。,"['用藥', '併發症']","用藥, 併發症",3,糖尿病藥物可能引起腹脹及體重下降，若體重下降過多需檢查血糖及其他疾病，建議回診確認。,蔡宗霖,2014/2/26,糖尿病口服藥物引起的腹脹和體重下降是否需要調整用藥？體重下降是否與血糖過高或脫水有關？,用藥
#70019 糖尿病疑問,李醫師您好1為什麼糖尿病會引起腎臟萎縮尿毒症2尿毒症有什麼症狀,代謝因素和血液動力學的變化是影響糖尿病腎臟病變的最主要原因：高血糖的作用改變了腎絲球和腎小管的回饋控制，產生異常的葡萄糖代謝路徑，導致腎絲球內基質擴張，基底膜流失；腎素-血管張力素-醛固酮系統、兒茶酚胺和前列腺素的改變，使得血壓升高、提高腎絲球壓力、增加腎臟負擔；以上一連串的反應影響細胞內傳遞物質的改變，產生細胞激素和生長因子，進而引起糖尿病腎臟病變和相關的併發症。,['併發症'],併發症,2,糖尿病腎病變由代謝和血液動力學變化引起，尿毒症症狀多樣，隨腎功能喪失及原有疾病不同而異，包括心血管、胃腸、神經、骨骼等多系統影響。,李志曜,2012/11/5,糖尿病患者如何控制腎素-血管張力素-醛固酮系統以減少腎臟病變風險？,併發症
#70019 糖尿病疑問,李醫師您好1為什麼糖尿病會引起腎臟萎縮尿毒症2尿毒症有什麼症狀,每一個尿毒症病人的臨床症狀並不是一樣的。症狀是隨病人腎小球濾過率的喪失而有所不同。同時也會隨著病人原先已有的疾病如糖尿病或心臟血管疾病之不同，而有所差異。一般外觀可看到一臉久病的病容以及蒼黃的臉色，顯得營養不良身體消瘦的樣子。電解質及酸鹼值的障礙。心臟血管症狀：高血壓;充血性心臟衰竭;肺水腫;心包膜炎。肺部的胸膜炎。胃腸的障礙：食慾不振、噁心、嘔吐、腹瀉及打嗝是常見的胃腸症狀。6.血液學的問題：貧血及不正常的出血。7.骨骼疾病：纖維性骨炎;軟骨症;骨質硬化;骨質疏鬆症。8內分泌異常：次發性副甲狀腺機能亢進。9.尿毒性腦神經病變：開始發生的時候，病人會出現疲倦、神情呆滯、精神不振、注意力集中障礙，最普遍的早期症狀是失眠或增加睡眠的需要。記憶力輕微障礙及行為異常可能發生，這些異常會慢慢地加重與惡化。10.尿毒性病周圍神經病變：主要侵犯下肢，但是亦可侵犯上肢，其特徵是遠端的、對稱的、感覺及運動混合性的多數神經病變。1皮膚症狀：廣泛性色素沈著過多及皮膚搔癢。,['併發症'],併發症,2,糖尿病腎病變由代謝和血液動力學變化引起，尿毒症症狀多樣，隨腎功能喪失及原有疾病不同而異，包括心血管、胃腸、神經、骨骼等多系統影響。,李志曜,2012/11/5,尿毒症患者的臨床症狀有哪些，這些症狀如何與糖尿病或心血管疾病相關聯？,併發症
#69529 糖尿病禁忌,廖醫師您好糖尿病除了不能吃糖少油以外還有什麼食物不能吃,"糖尿病病患飲食原則建議採取均衡飲食為主,少油,少糖多蔬果及運動,營養師建議任何食物都可食用,但須注意份量問題,青菜建議可多食用水果一天建議攝取2份,多喝水適當運動,及藥物控制是糖尿病控制最好的方法","['飲食', '運動']","飲食, 運動",5,均衡飲食、少油少糖、多蔬果、多喝水、適量運動及藥物控制是糖尿病管理的關鍵。,廖忠信,2012/9/17,糖尿病患者如何規劃均衡飲食並控制食物份量？,飲食
#179768 已穩定的2型糖尿病患者是否仍需持續在醫學中心看診,"醫生您好:
抱歉打擾了!想和您請問一下,小弟有2型糖尿病已經7年多,健檢發現此問題後就在醫學中心就診處理,從一開始使用扣糖到現在的排糖藥,糖化血色素控制在5.6~5.8之間,每三個月一次回診領藥及回診前抽血,一年驗一次眼底及足部檢查,醫生也告知都控制良好.
因近期健保制度要調整,加上有醫生朋友給我建議(非家醫或內科專業),說我這種已穩定的可以轉到一般家醫或內分泌科診所或是有參加糖尿病共照網的診所,只要穩定吃藥就可以控制好,診所就能開藥處理了,並可以節省國家健保資源及就醫費用也不需要那麼高,且現在資料都有互通了,有嚴重再請診所轉診就好,但是查了一下好像診所大多就沒有抽血和檢查眼底這些.
因為不是很了解,而本身過去經驗有時一些常出現的日常問題比如,眼科.皮膚科,耳鼻喉科方面的問題過去也都是先在診所處理,若設備不足或無法處理診所才會開轉診單轉到大醫院,但目前這糖尿病屬定期回診的慢性病,因此想和醫生請教一下,您的建議看法,謝謝.",請洽詢專業醫療人員,['血糖管理'],血糖管理,2,建議穩定血糖後可至基層醫療院所，由新陳代謝科醫師或糖尿病共照網院所管理。,李健,2022/3/21,2型糖尿病患者若控制穩定，是否適合轉至一般診所或糖尿病共照網診所進行管理？轉診後如何確保眼底檢查和抽血等必要檢查的持續性？,請洽詢專業醫療人員
#188292 糖尿病配方,醫生您好，我奶奶身高148cm、體重31kg，吃蛋奶素，有糖尿病、三高、血糖都在120-140左右，早上有在吃血糖藥、血壓藥、也有在打insulin長效型16U，她平常都喝原味安素2罐＋桂格完善1罐糖尿病配方，早上還會吃1/2的馬芬蛋糕大概200卡和一顆雞蛋，下午會吃豆花加些許糖大概130卡，晚餐水果香蕉或木瓜或水梨或柿子大概60大卡，不知道是醣類攝取過多，前幾天突然心跳150次/每分鐘，血壓也突然升高180/78mmHg，想問醫生像奶奶這種情況她可以怎麼改善，如:吃高蛋白質、豆漿？,糖尿病飲食原則中，以均衡飲食為主，攝取富含膳食纖維食物，例如：全穀類、蔬菜、水果…，避免攝取精緻醣類食物，例如：砂糖、甜點、果汁、蜂蜜、飲料…。,"['飲食', '血糖管理']","飲食, 血糖管理",5,糖尿病患者應均衡飲食，多膳食纖維，避免精緻糖類，選擇優質蛋白，增加活動量並定期監測血糖。,李健,2022/11/4,糖尿病患者如何選擇富含膳食纖維的食物並避免精緻醣類食物？,飲食
#188292 糖尿病配方,醫生您好，我奶奶身高148cm、體重31kg，吃蛋奶素，有糖尿病、三高、血糖都在120-140左右，早上有在吃血糖藥、血壓藥、也有在打insulin長效型16U，她平常都喝原味安素2罐＋桂格完善1罐糖尿病配方，早上還會吃1/2的馬芬蛋糕大概200卡和一顆雞蛋，下午會吃豆花加些許糖大概130卡，晚餐水果香蕉或木瓜或水梨或柿子大概60大卡，不知道是醣類攝取過多，前幾天突然心跳150次/每分鐘，血壓也突然升高180/78mmHg，想問醫生像奶奶這種情況她可以怎麼改善，如:吃高蛋白質、豆漿？,馬芬蛋糕屬於高糖高油精緻甜點，並不建議糖尿病患者。,"['飲食', '血糖管理']","飲食, 血糖管理",5,糖尿病患者應均衡飲食，多膳食纖維，避免精緻糖類，選擇優質蛋白，增加活動量並定期監測血糖。,李健,2022/11/4,糖尿病患者應避免哪些高糖高油的食物？,飲食
#188292 糖尿病配方,醫生您好，我奶奶身高148cm、體重31kg，吃蛋奶素，有糖尿病、三高、血糖都在120-140左右，早上有在吃血糖藥、血壓藥、也有在打insulin長效型16U，她平常都喝原味安素2罐＋桂格完善1罐糖尿病配方，早上還會吃1/2的馬芬蛋糕大概200卡和一顆雞蛋，下午會吃豆花加些許糖大概130卡，晚餐水果香蕉或木瓜或水梨或柿子大概60大卡，不知道是醣類攝取過多，前幾天突然心跳150次/每分鐘，血壓也突然升高180/78mmHg，想問醫生像奶奶這種情況她可以怎麼改善，如:吃高蛋白質、豆漿？,如個案三餐能以全穀類為主食，一天至少300g蔬菜量，選擇優質蛋白質但無油炸過的豆皮、豆包、豆腐、雞蛋、豆漿、豆花，一天4~5份(大約2~5個手掌大小的份量)，2次點心可選擇水果或者無糖豆花、豆漿、蒸蛋，增加水份攝取。,"['飲食', '血糖管理']","飲食, 血糖管理",5,糖尿病患者應均衡飲食，多膳食纖維，避免精緻糖類，選擇優質蛋白，增加活動量並定期監測血糖。,李健,2022/11/4,糖尿病患者如何規劃三餐和點心的飲食內容以控制血糖？,飲食
#188292 糖尿病配方,醫生您好，我奶奶身高148cm、體重31kg，吃蛋奶素，有糖尿病、三高、血糖都在120-140左右，早上有在吃血糖藥、血壓藥、也有在打insulin長效型16U，她平常都喝原味安素2罐＋桂格完善1罐糖尿病配方，早上還會吃1/2的馬芬蛋糕大概200卡和一顆雞蛋，下午會吃豆花加些許糖大概130卡，晚餐水果香蕉或木瓜或水梨或柿子大概60大卡，不知道是醣類攝取過多，前幾天突然心跳150次/每分鐘，血壓也突然升高180/78mmHg，想問醫生像奶奶這種情況她可以怎麼改善，如:吃高蛋白質、豆漿？,除了飲食上的調整，增加身體的活動度、定期的監測血糖、諄從醫師藥物指示，相信三高症狀會越來越穩定。,"['飲食', '血糖管理']","飲食, 血糖管理",5,糖尿病患者應均衡飲食，多膳食纖維，避免精緻糖類，選擇優質蛋白，增加活動量並定期監測血糖。,李健,2022/11/4,如何透過飲食調整、增加運動量及遵循醫師藥物指示來穩定三高症狀？,生活管理
#187033 糖尿病前期,"之前測糖化血色素得知有一點高,後來飲食控制,再去測數值是5.5,醫師說沒事,我想問醫師有一點高的糖化血色素會造成胰臟不能逆轉功能上的損傷嗎?而損傷能靠運動修復而變成和原來一樣的功能嗎?",輕微的血糖偏高不至於造成胰臟功能上嚴重的損傷,['血糖管理'],血糖管理,1,輕微血糖偏高不會嚴重損害胰臟功能。,李健,2022/9/28,輕微血糖偏高是否需要特別監測胰臟功能？,血糖管理
#187004 糖尿病前期,"醫生你好

我最近一次去健康檢查
飯前血糖 104
糖化血色素 5.7

紅血球 4.56
血紅素 14
MCV 88.6
HT40.4

健康檢查前 還在吃抗生素
吃藥已經持續7天了

這樣檢驗的數值準確嗎？

我需要馬上在從新檢驗？

還是等3個月後回去追蹤檢查？

先謝謝您的回覆",請洽詢專業醫療人員,"['飲食', '血糖管理']","飲食, 血糖管理",3,飲食控制，三個月後追蹤糖尿病前期狀況。,李健,2022/9/28,健康檢查前服用抗生素是否會影響飯前血糖和糖化血色素的準確性？是否需要立即重新檢驗或等待三個月後追蹤檢查？,請洽詢專業醫療人員
#176533 關於糖尿病患者開刀的事項,"醫師好

我在三年前被診斷糖尿病，當時糖化血色素是9.1
至今仍靠口服藥控制血糖，現糖化血色素7.8

明年初我將因腳第五趾內翻入院進行手術
請問有甚麼應該注意的嗎？

骨科醫師是說血糖要控制在150以下，不然麻醉科醫師會打槍是真的嗎？

術前跟術後有甚麼需要注意的嗎？",請洽詢專業醫療人員,['血糖管理'],血糖管理,1,糖分需維持100-150是手術及術後的基本條件。,何永和,2021/12/10,術前及術後糖尿病患者需要注意哪些事項？血糖控制是否影響手術麻醉的進行？,請洽詢專業醫療人員
