子問題,GPT主題分類,真實主題,命中子問題,原始回答,檢索回答,問題相似度,答案相似度,主題匹配,排名,是否回應,,question,answer,original_question,,
糖尿病引起的神經變化有哪些？是否需要口腔科進一步檢查？,併發症,併發症,糖尿病神經病變會有哪些常見症狀？足底測試如何進行？神經傳導檢查的目的和流程是什麼？,"糖尿病會造成神經變化
不過是否一定是糖尿病造成的?
建議可以找口腔科求診","糖尿病神經病變常見四肢末端麻痛或感覺遲鈍,有如戴手套的狀況,一般若醫院有糖尿病衛教師可先做足底測試,若需進一步檢查可至神經科評估,進一步做神經傳導檢查 。",0.783411562,0.819103062,TRUE,1,1,,糖尿病引起的神經變化有哪些？是否需要口腔科進一步檢查？,"糖尿病神經病變常見四肢末端麻痛或感覺遲鈍,有如戴手套的狀況,一般若醫院有糖尿病衛教師可先做足底測試,若需進一步檢查可至神經科評估,進一步做神經傳導檢查 。","我三年前因為怕蛀牙一天刷四次 以往是兩次

沒多久因為壓力 睡不好 舌頭就開始痛

我都刷很久等於牙膏含在口裡至少10分鐘

之後雖然馬上停止 卻開始舌痛

已經有給耳鼻 和口外檢查

都說發紅而已

接著時好時壞 另外我自己看舌頭感覺有萎縮

醫師是沒講

只有開b群 吃時似乎比較不痛 沒吃又發作


想請問醫師

1.糖尿病會造成舌痛嗎

不過我BMI只有17.9還是有甜飲情況

2.還時當時牙膏太刺激造成口腔菌叢破壞

醫學上有可能嗎

當時口外一度懷是念珠菌 可是又說不像 因為沒白班

我個人這幾天很奇怪 都是洗完澡 睡前開始痛

白天又不痛

後來受不了 降低甜飲同時開始狂含無糖綠加藥用牙膏(甘草類 當時口外有開過)

感覺有改善一點

不知道您怎看我情況

還是單純缺b2而已 (我喝牛奶消化不良 也沒吃紅肉和內臟 )",,
糖尿病引起的神經變化有哪些？是否需要口腔科進一步檢查？,併發症,併發症,手腳麻木是否可能與糖尿病併發症如神經病變有關？,"糖尿病會造成神經變化
不過是否一定是糖尿病造成的?
建議可以找口腔科求診",手腳麻麻的，可以是糖尿病引起的，也可能是其他的問題，請先與的醫師討論，再做定奪。,0.750383079,0.75786525,TRUE,2,0,,糖尿病引起的神經變化有哪些？是否需要口腔科進一步檢查？,手腳麻麻的，可以是糖尿病引起的，也可能是其他的問題，請先與的醫師討論，再做定奪。,"我三年前因為怕蛀牙一天刷四次 以往是兩次

沒多久因為壓力 睡不好 舌頭就開始痛

我都刷很久等於牙膏含在口裡至少10分鐘

之後雖然馬上停止 卻開始舌痛

已經有給耳鼻 和口外檢查

都說發紅而已

接著時好時壞 另外我自己看舌頭感覺有萎縮

醫師是沒講

只有開b群 吃時似乎比較不痛 沒吃又發作


想請問醫師

1.糖尿病會造成舌痛嗎

不過我BMI只有17.9還是有甜飲情況

2.還時當時牙膏太刺激造成口腔菌叢破壞

醫學上有可能嗎

當時口外一度懷是念珠菌 可是又說不像 因為沒白班

我個人這幾天很奇怪 都是洗完澡 睡前開始痛

白天又不痛

後來受不了 降低甜飲同時開始狂含無糖綠加藥用牙膏(甘草類 當時口外有開過)

感覺有改善一點

不知道您怎看我情況

還是單純缺b2而已 (我喝牛奶消化不良 也沒吃紅肉和內臟 )",,
糖尿病引起的神經變化有哪些？是否需要口腔科進一步檢查？,併發症,併發症,糖尿病神經病變疼痛可以使用哪些藥物或治療方式減輕症狀？,"糖尿病會造成神經變化
不過是否一定是糖尿病造成的?
建議可以找口腔科求診","糖尿病神經病變目前並無有效治療方式,可用含Capsaicin(辣椒素)的藥膏或貼布局部止痛,或使用止痛藥,三環抗憂鬱藥等減輕疼痛,可至神經科或疼痛科門診評估。",0.739729524,0.775429428,TRUE,3,1,,糖尿病引起的神經變化有哪些？是否需要口腔科進一步檢查？,"糖尿病神經病變目前並無有效治療方式,可用含Capsaicin(辣椒素)的藥膏或貼布局部止痛,或使用止痛藥,三環抗憂鬱藥等減輕疼痛,可至神經科或疼痛科門診評估。","我三年前因為怕蛀牙一天刷四次 以往是兩次

沒多久因為壓力 睡不好 舌頭就開始痛

我都刷很久等於牙膏含在口裡至少10分鐘

之後雖然馬上停止 卻開始舌痛

已經有給耳鼻 和口外檢查

都說發紅而已

接著時好時壞 另外我自己看舌頭感覺有萎縮

醫師是沒講

只有開b群 吃時似乎比較不痛 沒吃又發作


想請問醫師

1.糖尿病會造成舌痛嗎

不過我BMI只有17.9還是有甜飲情況

2.還時當時牙膏太刺激造成口腔菌叢破壞

醫學上有可能嗎

當時口外一度懷是念珠菌 可是又說不像 因為沒白班

我個人這幾天很奇怪 都是洗完澡 睡前開始痛

白天又不痛

後來受不了 降低甜飲同時開始狂含無糖綠加藥用牙膏(甘草類 當時口外有開過)

感覺有改善一點

不知道您怎看我情況

還是單純缺b2而已 (我喝牛奶消化不良 也沒吃紅肉和內臟 )",,
糖尿病引起的神經變化有哪些？是否需要口腔科進一步檢查？,併發症,併發症,糖尿病神經病變如何影響肢體的感覺和肌肉功能？,"糖尿病會造成神經變化
不過是否一定是糖尿病造成的?
建議可以找口腔科求診",糖尿病神經病變可能侵犯週變神經，引起遠端肢體的酸麻、疼痛等症狀。一般為手（hands）和腳（feet）。也可能引起近端肌肉的酸痛及無力。如大腿肌肉。但是由於糖尿病為代謝性的疾病，會影響全身的組織與器官，所以週圍神經病變大多涉及兩側肢體；較少出現單一神經病變。,0.728199482,0.81170702,TRUE,4,1,,糖尿病引起的神經變化有哪些？是否需要口腔科進一步檢查？,糖尿病神經病變可能侵犯週變神經，引起遠端肢體的酸麻、疼痛等症狀。一般為手（hands）和腳（feet）。也可能引起近端肌肉的酸痛及無力。如大腿肌肉。但是由於糖尿病為代謝性的疾病，會影響全身的組織與器官，所以週圍神經病變大多涉及兩側肢體；較少出現單一神經病變。,"我三年前因為怕蛀牙一天刷四次 以往是兩次

沒多久因為壓力 睡不好 舌頭就開始痛

我都刷很久等於牙膏含在口裡至少10分鐘

之後雖然馬上停止 卻開始舌痛

已經有給耳鼻 和口外檢查

都說發紅而已

接著時好時壞 另外我自己看舌頭感覺有萎縮

醫師是沒講

只有開b群 吃時似乎比較不痛 沒吃又發作


想請問醫師

1.糖尿病會造成舌痛嗎

不過我BMI只有17.9還是有甜飲情況

2.還時當時牙膏太刺激造成口腔菌叢破壞

醫學上有可能嗎

當時口外一度懷是念珠菌 可是又說不像 因為沒白班

我個人這幾天很奇怪 都是洗完澡 睡前開始痛

白天又不痛

後來受不了 降低甜飲同時開始狂含無糖綠加藥用牙膏(甘草類 當時口外有開過)

感覺有改善一點

不知道您怎看我情況

還是單純缺b2而已 (我喝牛奶消化不良 也沒吃紅肉和內臟 )",,
糖尿病引起的神經變化有哪些？是否需要口腔科進一步檢查？,併發症,併發症,糖尿病周邊神經病變有哪些非手術的改善方法或緩解方式？,"糖尿病會造成神經變化
不過是否一定是糖尿病造成的?
建議可以找口腔科求診",糖尿病周邊神經病變無法以手術方式改善,0.719372869,0.683163106,TRUE,5,0,,糖尿病引起的神經變化有哪些？是否需要口腔科進一步檢查？,糖尿病周邊神經病變無法以手術方式改善,"我三年前因為怕蛀牙一天刷四次 以往是兩次

沒多久因為壓力 睡不好 舌頭就開始痛

我都刷很久等於牙膏含在口裡至少10分鐘

之後雖然馬上停止 卻開始舌痛

已經有給耳鼻 和口外檢查

都說發紅而已

接著時好時壞 另外我自己看舌頭感覺有萎縮

醫師是沒講

只有開b群 吃時似乎比較不痛 沒吃又發作


想請問醫師

1.糖尿病會造成舌痛嗎

不過我BMI只有17.9還是有甜飲情況

2.還時當時牙膏太刺激造成口腔菌叢破壞

醫學上有可能嗎

當時口外一度懷是念珠菌 可是又說不像 因為沒白班

我個人這幾天很奇怪 都是洗完澡 睡前開始痛

白天又不痛

後來受不了 降低甜飲同時開始狂含無糖綠加藥用牙膏(甘草類 當時口外有開過)

感覺有改善一點

不知道您怎看我情況

還是單純缺b2而已 (我喝牛奶消化不良 也沒吃紅肉和內臟 )",,
胰島素注射的基因合成技術如何確保安全性和方便性？,請洽詢專業醫療人員,用藥,目前有哪些醫學中心提供胰臟或胰島腺移植作為糖尿病治療選項？,"胰島素注射目前多屬基因合成,非常安全方便",未來的生化科技可能是糖尿病治療的願景之所繫，但是目前除了極少部分醫學中心有胰臟或胰島腺的移殖之外，尚未有可行的生化或基因療法，可以根治糖尿病。,0.513433039,0.599444449,FALSE,1,0,,胰島素注射的基因合成技術如何確保安全性和方便性？,未來的生化科技可能是糖尿病治療的願景之所繫，但是目前除了極少部分醫學中心有胰臟或胰島腺的移殖之外，尚未有可行的生化或基因療法，可以根治糖尿病。,"我先生現年30歲，在27歲那年發現糖尿病，一直吃中藥控制，中藥一天吃4次（早、中、晚、睡前），但晚餐飯後血糖在350附近，飯後運動半小時，飯後2小時再量血糖是250附近，隔天早上空腹血糖是130~160，在網上看到一則報導，有一種降血糖新藥叫諾和隆（NOVO NORM），是控制飯後血糖。
想請教醫師的是
1.像我先生這樣的病情，是不是控制不理想？是否應改吃西藥？
2.若改吃西藥會不會造成藥吃愈久，藥量愈重，導致胰臟刺激到最後沒有功能，須打胰島素？
3.若是吃諾和隆這種藥，有什麼副作用？
4.中藥是不是都沒有副作用？
5.若是吃西藥，可以配合中藥（保養腎），會不會有衝突？服用西藥與中藥最好間隔多久？
6.我們是居住在高雄市，能否介紹專門的醫師？
請熱心的醫師為我們解答，謝謝各位醫師。",,
胰島素注射的基因合成技術如何確保安全性和方便性？,請洽詢專業醫療人員,用藥,術前及術後糖尿病患者需要注意哪些事項？血糖控制是否影響手術麻醉的進行？,"胰島素注射目前多屬基因合成,非常安全方便",請洽詢專業醫療人員,0.48972401,0.47562924,FALSE,2,0,,胰島素注射的基因合成技術如何確保安全性和方便性？,請洽詢專業醫療人員,"我先生現年30歲，在27歲那年發現糖尿病，一直吃中藥控制，中藥一天吃4次（早、中、晚、睡前），但晚餐飯後血糖在350附近，飯後運動半小時，飯後2小時再量血糖是250附近，隔天早上空腹血糖是130~160，在網上看到一則報導，有一種降血糖新藥叫諾和隆（NOVO NORM），是控制飯後血糖。
想請教醫師的是
1.像我先生這樣的病情，是不是控制不理想？是否應改吃西藥？
2.若改吃西藥會不會造成藥吃愈久，藥量愈重，導致胰臟刺激到最後沒有功能，須打胰島素？
3.若是吃諾和隆這種藥，有什麼副作用？
4.中藥是不是都沒有副作用？
5.若是吃西藥，可以配合中藥（保養腎），會不會有衝突？服用西藥與中藥最好間隔多久？
6.我們是居住在高雄市，能否介紹專門的醫師？
請熱心的醫師為我們解答，謝謝各位醫師。",,`
胰島素注射的基因合成技術如何確保安全性和方便性？,請洽詢專業醫療人員,用藥,易瘦體質的糖尿病患者是否需要特別告知醫師以選擇適合的藥物？目前用藥安胰敏+利糖順是否適合父親的體質？醫師換藥是否因病情變化或其他考量？愛妥糖是否更適合父親的體質使用？,"胰島素注射目前多屬基因合成,非常安全方便",請洽詢專業醫療人員,0.470657945,0.47562924,FALSE,3,0,,胰島素注射的基因合成技術如何確保安全性和方便性？,請洽詢專業醫療人員,"我先生現年30歲，在27歲那年發現糖尿病，一直吃中藥控制，中藥一天吃4次（早、中、晚、睡前），但晚餐飯後血糖在350附近，飯後運動半小時，飯後2小時再量血糖是250附近，隔天早上空腹血糖是130~160，在網上看到一則報導，有一種降血糖新藥叫諾和隆（NOVO NORM），是控制飯後血糖。
想請教醫師的是
1.像我先生這樣的病情，是不是控制不理想？是否應改吃西藥？
2.若改吃西藥會不會造成藥吃愈久，藥量愈重，導致胰臟刺激到最後沒有功能，須打胰島素？
3.若是吃諾和隆這種藥，有什麼副作用？
4.中藥是不是都沒有副作用？
5.若是吃西藥，可以配合中藥（保養腎），會不會有衝突？服用西藥與中藥最好間隔多久？
6.我們是居住在高雄市，能否介紹專門的醫師？
請熱心的醫師為我們解答，謝謝各位醫師。",,
胰島素注射的基因合成技術如何確保安全性和方便性？,請洽詢專業醫療人員,用藥,有什麼方法或食譜可以安全地控制血壓和血糖？,"胰島素注射目前多屬基因合成,非常安全方便",請洽詢專業醫療人員,0.452656627,0.47562924,FALSE,4,0,,胰島素注射的基因合成技術如何確保安全性和方便性？,請洽詢專業醫療人員,"我先生現年30歲，在27歲那年發現糖尿病，一直吃中藥控制，中藥一天吃4次（早、中、晚、睡前），但晚餐飯後血糖在350附近，飯後運動半小時，飯後2小時再量血糖是250附近，隔天早上空腹血糖是130~160，在網上看到一則報導，有一種降血糖新藥叫諾和隆（NOVO NORM），是控制飯後血糖。
想請教醫師的是
1.像我先生這樣的病情，是不是控制不理想？是否應改吃西藥？
2.若改吃西藥會不會造成藥吃愈久，藥量愈重，導致胰臟刺激到最後沒有功能，須打胰島素？
3.若是吃諾和隆這種藥，有什麼副作用？
4.中藥是不是都沒有副作用？
5.若是吃西藥，可以配合中藥（保養腎），會不會有衝突？服用西藥與中藥最好間隔多久？
6.我們是居住在高雄市，能否介紹專門的醫師？
請熱心的醫師為我們解答，謝謝各位醫師。",,
胰島素注射的基因合成技術如何確保安全性和方便性？,請洽詢專業醫療人員,用藥,糖尿病患者在控制血糖、飲食和排便問題時應如何調整？,"胰島素注射目前多屬基因合成,非常安全方便",請洽詢專業醫療人員,0.445069909,0.47562924,FALSE,5,0,,胰島素注射的基因合成技術如何確保安全性和方便性？,請洽詢專業醫療人員,"我先生現年30歲，在27歲那年發現糖尿病，一直吃中藥控制，中藥一天吃4次（早、中、晚、睡前），但晚餐飯後血糖在350附近，飯後運動半小時，飯後2小時再量血糖是250附近，隔天早上空腹血糖是130~160，在網上看到一則報導，有一種降血糖新藥叫諾和隆（NOVO NORM），是控制飯後血糖。
想請教醫師的是
1.像我先生這樣的病情，是不是控制不理想？是否應改吃西藥？
2.若改吃西藥會不會造成藥吃愈久，藥量愈重，導致胰臟刺激到最後沒有功能，須打胰島素？
3.若是吃諾和隆這種藥，有什麼副作用？
4.中藥是不是都沒有副作用？
5.若是吃西藥，可以配合中藥（保養腎），會不會有衝突？服用西藥與中藥最好間隔多久？
6.我們是居住在高雄市，能否介紹專門的醫師？
請熱心的醫師為我們解答，謝謝各位醫師。",,
